story,Politics_0,Politics_1,Politics_2,Politics_3,Politics_4,Politics_5,Politics_6,Politics_7,Politics_8,Politics_9,Politics_10,Politics_11,Politics_12,Politics_13,Politics_pca_1d,Politics_pca_2d,Russia_0,Russia_1,Russia_2,Russia_3,Russia_4,Russia_5,Russia_6,Russia_7,Russia_8,Russia_pca_1d,Russia_pca_2d,Public services_0,Public services_1,Public services_2,Public services_3,Public services_4,Public services_5,Public services_pca_1d,Public services_pca_2d,Crime_0,Crime_1,Crime_2,Crime_3,Crime_4,Crime_5,Crime_6,Crime_7,Crime_8,Crime_pca_1d,Crime_pca_2d,Crypto/net_0,Crypto/net_1,Crypto/net_2,Crypto/net_pca_1d,Crypto/net_pca_2d,Inflation_0,Inflation_1,Inflation_2,Inflation_pca_1d,Inflation_pca_2d
elperiodico,-0.0050441464843463,0.2771919984928912,-0.0127218793322089,-0.1067506520398395,-0.1384971856795969,0.0156331163076352,0.107411355922784,0.1892091762547484,-0.1289341006550038,-0.2065787526439313,0.0350723998309743,-0.0460146376737613,0.01768518607525,0.0298236637294864,-0.9045762192921625,0.38711212287430385,-0.1299933299197449,0.127920185888442,-0.019224608521205,0.0185356241195224,0.1446123984244764,-0.1116137978749075,0.0065449052151234,0.1597236061854017,0.0019030770840294,0.34917313177271825,0.3402180912772138,,,,,,,,,-0.3091247114669839,0.3197304173817063,-0.1463665032875844,-0.3807729805325994,0.1201506063036846,-0.1020468786925457,-0.1132645886300885,-0.6147127636069377,-0.3288245022338924,-0.3718355125170073,-1.1462426359441227,,,,,,,,,,
heraldo,0.0236863887276444,0.5736299839663415,-0.0977904669646151,-0.2874213749177081,-0.0707660282856347,-0.0399799422832188,0.0523401054944378,-0.0469223399668549,-0.135943518483792,-0.2076333754487864,0.0779523922093261,0.2958549546196279,0.038645467497108,0.1083068731891293,-0.6579963202708544,-0.35880000352282476,,,,,,,,,,,,,,,,,,,,-0.3743991690116593,-0.0898864858850011,0.0482463813924991,-0.0449021116361375,0.35498730360446,0.6778825142836831,0.2592952903291144,-0.0498068350055571,-0.3680482971087661,0.10623257450108056,0.08291425592574458,,,,,,,,,,
lavozdeasturias,0.0123683876739695,0.5138408615859371,-0.0344373719377179,-0.2335174949772628,-0.0337010683335922,0.026429639546856,0.0519119555528771,-0.1008247855478391,-0.2582686670065828,0.1477898452623547,0.1708277672498637,0.4795256725951601,0.5912498866536594,-0.3348094638701688,0.07701660391733878,-1.1096033773641951,,,,,,,,,,,,,,,,,,,,-0.431944987094072,0.9594514884099816,-0.3920421244459405,-0.5251632956491349,-0.0149556884927245,0.570117842823549,-0.3814218112439396,0.643342338335823,1.2136480044959024,-1.8728345983075523,4.8507746688185405,,,,,,,,,,
publico,-0.041263644291057,-0.1844752347686457,0.0317798521047233,-0.1597744994596778,-0.0066257702727424,0.0504699216081507,-0.0224110619175017,0.0196176657880203,0.0637353217908988,0.0198306417598803,-0.00652740373311,0.0164080020663417,0.0278965511753461,0.0401339569021138,-0.40343958918955614,-0.593831161979697,-0.4482669210419784,-0.3045322948250955,-0.1777087336717949,0.623480512523021,0.0226388117086095,0.3415830976110165,0.5259505519787817,0.0118146243915273,-0.1506160753857912,-0.6679889914392778,-0.39909392834647667,-0.0056656477280228,-0.2274850763102308,0.1663578404436469,-0.0617005920282691,-0.0192090330612188,-0.0136526566142701,0.6227810203734617,0.25921567578150884,0.7088902077079197,0.2587579809512918,0.0586694768166765,-0.2885088476454009,0.1274770566361731,-0.0720113509693869,0.0405415322852352,-0.3552084048108161,0.3137129081282173,-0.7464486383570752,-0.810921740330875,,,,,,-0.2255214905528949,-0.412462608947814,-0.1073741242478213,-0.3522335568106151,-0.9890910472946605
vozpopuli,0.0327284906881052,1.0223076502723734,-0.2088893409335484,0.4943113949885392,0.203415091456484,-0.1090055936215481,0.4076596417789155,0.0366003101409233,2.3619320666734644,-0.4942927316033773,-0.13049845194475,0.1177834851565033,0.0688927797585377,-0.0003884569460714,0.8621641582825682,1.1612388054251166,,,,,,,,,,,,,,,,,,,,-0.460511953611064,1.383191738013343,1.1705382109310358,0.95179870852891,-0.0931865087999265,-0.2085865646858513,0.6152166598993615,-0.0598235497654144,0.0709898613731446,5.986444100971409,1.054008445669722,,,,,,,,,,
elconfidencial,-0.0052621036829734,0.502372751111784,-0.0945562607773682,0.057887762750667,-0.0185614470397863,-0.0814030703179456,-0.0511564523322393,-0.0510233638234264,-0.0479295897427605,-0.0310099575894317,-0.0427969660245809,0.0234437018345458,-0.1902651498892523,-0.0562370663567961,0.2529474797177147,-0.1917381130761281,-0.0775216810599636,0.3144795591895686,-0.1601205330488871,0.2952977178656786,-0.0130713321769706,0.0841022666698928,0.0965667768827501,-0.0241206202466671,-0.2835540558935414,0.5386144055358452,-0.1927948154542161,-0.5587521551076782,0.0293736948905175,-0.3833347148661006,-0.2598563653001125,0.5294110563016337,-0.1336689110721196,-0.43841000375125905,1.176118206047214,,,,,,,,,,,,,,,,,0.8881750090063951,0.010008076674918,-0.7887576729844452,-0.33171505996088324,-0.06930695562662806
elmundotoday,-0.0749887536566401,-0.1760464989997359,-0.0339386047493203,0.4383052046341588,-0.744825677920823,0.3916007563417991,0.1072769877721563,0.1018459498485645,-0.0052681642291239,0.1295690625963472,-0.1188797638675187,0.0528136100871035,-0.0853684305206326,-0.0458955735199293,-0.23981683758930653,-0.40779527446897273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lasexta,-0.021412422277722,0.0379770256871457,-0.0178567394277614,-0.1491588541047248,-0.0473760880621818,-0.0082699175260851,-0.1248889392638719,0.010139633019236,0.0400662465028375,-0.0105211621422438,-0.0758449780712741,-0.0833593921967346,-0.0060890645877496,0.0276388962682098,-0.1995146679521869,-0.526332380812377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ondacero,-0.0194891915498883,0.673364273297322,-0.1299713886806374,0.2157866665803069,0.0040533554763164,-0.3370019195755829,-0.2142327712500788,-0.1943601055402927,-0.1486862701009051,0.1227159612019782,-0.2707257009508956,-0.0473284142832311,0.0400101957857657,0.5789088009741682,0.9837870124814805,-0.4247397114962378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maldita,0.0150715155965091,0.7740851939712791,-0.0691316091476522,0.1762527390639067,-0.0164203387803719,-0.1790302651878636,0.1470210076010023,-0.1845410185615612,-0.0349010302105865,0.0428978004635502,-0.4319083335155365,0.0310716050747453,0.3089901141423848,0.1998604379957725,0.7493963596053631,-0.24352764951645575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
