story,Crime_0,Crime_1,Crime_2,Crime_3,Crime_4,Crime_5,Crime_6,Crime_7,Crime_8,Crypto/net_0,Crypto/net_1,Crypto/net_2,Inflation_0,Inflation_1,Inflation_2,Politics_0,Politics_1,Politics_2,Politics_3,Politics_4,Politics_5,Politics_6,Politics_7,Politics_8,Politics_9,Politics_10,Politics_11,Politics_12,Politics_13,Public services_0,Public services_1,Public services_2,Public services_3,Public services_4,Public services_5,Russia_0,Russia_1,Russia_2,Russia_3,Russia_4,Russia_5,Russia_6,Russia_7,Russia_8
lavozdegalicia,-0.47622304126384696,-0.2671665799687984,0.07810899930815754,-0.07007107691128478,-0.022291991625610942,0.16446430349719304,0.13998986908015684,-0.37280210935691177,0.3409218414483369,,,,,,,0.03586805192394102,1.0028707037054174,-0.16373569444328026,0.037138676214169664,0.08521102974249678,-0.10788931477125736,0.36098124636919243,0.14059139073860413,-0.27393298207457867,-0.15007036666224816,-0.44692259176737514,0.6244100016413526,-0.23914092943632154,-0.06099642474823749,,,,,,,,,,,,,,,
levante-emv,-0.07645628126535663,0.08967553890942379,-0.1592604851927129,-0.18218466354304952,0.29504803987016237,-0.4917855247858348,0.1757561455441899,-0.19588937501087245,0.10444619973574974,,,,,,,0.012888038901333556,0.0711634450633159,0.002740151712547779,-0.2684228907797974,-0.10708084786897487,0.04527376502827975,-0.026081216371960488,-0.002646159411836742,-0.0604747046263829,-0.061299967651540735,0.17732895563219098,-0.07132826798289907,0.0946183421944539,0.07671847940106272,,,,,,,,,,,,,,,
twitter,0.6250607301899931,-0.32522254088141944,0.49205637337301544,-0.13907082935430837,0.046465801457048844,0.11010341212627822,0.018924901515619857,0.10999682616708344,-0.002071123784548254,0.6846865670517129,0.8493976075602486,0.11434452278623852,0.4787003130476868,-0.24112268684856994,0.38576412413921446,-0.08707567939840227,-0.19818151982305726,-0.013405788859641565,0.21030367968152153,0.14497124229734312,-0.1157917779185102,-0.05793931828290878,0.002530716265149633,-0.03455417411438826,0.01576934437498359,0.009757437622127435,0.01327320162744054,-0.03792466121938131,0.1413867569777664,-0.21194350265138873,-0.3184080336856465,0.16352142673719317,-0.1299184589164414,-0.10718444519850436,0.11195366267551839,-0.2696292992008635,-0.21526943999841375,-0.06325175191515088,0.06196221981131146,-0.33406607490275103,-0.24675211222653093,0.000188573358415536,0.08728699470989876,0.132529568909852
ultimahora,-0.28093230137107905,-0.2743052430718883,0.046411059121808027,-0.22738376858578038,0.13647103625359916,-0.2597399003984902,0.556794065877259,0.2547437001879469,-0.10231542867747727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abc,-0.4122063194857683,-0.1616032255029704,-0.015013667201219879,0.057421299634806064,-0.4156734004229576,0.4274122783308285,-0.05885857481227832,-0.4561919354065112,-0.11969667148506608,,,,,,,0.017349169385033836,0.6283927970850653,-0.16614775327223089,0.23696477991342113,-0.08757876248896114,-0.07081769501358262,-0.2290450331764751,-0.03427249120494548,-0.012077385707104914,0.15056473861099953,0.5912944619015805,-0.45704344050567475,0.10283976628962817,-0.14219285812478363,,,,,,,0.07564877699130178,0.4851965455216298,-0.09090489382867048,-0.14009696974317987,0.07031360298238837,-0.028916981864943528,-0.14694851708220377,-0.054040465345698445,-0.43528989401233376
telecinco,-0.0496832214434874,0.29153458598026005,0.21116437870047883,0.2050565400815465,0.5638025084376623,0.6902065904604416,-0.4025480341040669,0.635112388860489,-0.4273327389063759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elnacional,0.10088445572271187,0.39831811198731126,0.12172571906965513,-0.3729063307549366,0.018069264986939334,-0.11199413314705775,-0.43314992791683915,-0.4174351791385972,-0.43182516571119134,,,,,,,-0.030343642144251136,0.19644445408902741,-0.012796843626091245,-0.005184602752435185,-0.06029106165467187,-0.05825536458760887,0.3955039553285456,0.642229369759685,-0.2760922697898714,-0.7223231988156236,0.32808008531789756,-0.17167241018173626,-0.08797723479868871,0.08575418043537451,,,,,,,,,,,,,,,
elperiodico,-0.30912471146698395,0.3197304173817063,-0.14636650328758444,-0.38077298053259945,0.12015060630368463,-0.1020468786925457,-0.11326458863008856,-0.6147127636069377,-0.3288245022338924,,,,,,,-0.005044146484346333,0.2771919984928912,-0.012721879332208927,-0.10675065203983958,-0.13849718567959693,0.015633116307635246,0.10741135592278409,0.18920917625474845,-0.12893410065500388,-0.20657875264393133,0.03507239983097435,-0.04601463767376132,0.017685186075250034,0.029823663729486468,,,,,,,-0.1299933299197449,0.127920185888442,-0.019224608521205094,0.018535624119522434,0.14461239842447643,-0.11161379787490755,0.006544905215123489,0.1597236061854017,0.0019030770840294305
heraldo,-0.37439916901165937,-0.08988648588500117,0.04824638139249918,-0.04490211163613754,0.35498730360446007,0.6778825142836831,0.2592952903291144,-0.049806835005557167,-0.36804829710876613,,,,,,,0.02368638872764447,0.5736299839663415,-0.09779046696461516,-0.2874213749177081,-0.07076602828563476,-0.03997994228321883,0.052340105494437864,-0.046922339966854965,-0.135943518483792,-0.20763337544878646,0.07795239220932618,0.2958549546196279,0.038645467497108066,0.1083068731891293,,,,,,,,,,,,,,,
lavozdeasturias,-0.43194498709407203,0.9594514884099816,-0.39204212444594055,-0.5251632956491349,-0.014955688492724531,0.570117842823549,-0.3814218112439396,0.643342338335823,1.2136480044959024,,,,,,,0.01236838767396959,0.5138408615859371,-0.03443737193771797,-0.23351749497726282,-0.03370106833359223,0.026429639546856083,0.0519119555528771,-0.10082478554783912,-0.2582686670065828,0.14778984526235478,0.17082776724986373,0.47952567259516016,0.5912498866536594,-0.3348094638701688,,,,,,,,,,,,,,,
