story,Politics_0,Politics_1,Politics_2,Politics_3,Politics_4,Politics_5,Politics_6,Politics_7,Politics_8,Politics_9,Politics_10,Politics_11,Politics_12,Politics_13,Politics_14,Politics_15,Politics_16,Politics_17,Politics_18,Politics_19,Politics_20,Politics_21,Politics_22,Politics_23,Politics_24,Politics_25,Politics_26,Politics_27,Politics_28,Politics_29,Politics_30,Politics_31,Politics_32,Politics_33,Politics_34,Politics_35,Politics_36,Politics_37,Politics_38,Politics_39,Politics_pca_1d,Politics_pca_2d,Russia_0,Russia_1,Russia_2,Russia_3,Russia_4,Russia_5,Russia_6,Russia_7,Russia_8,Russia_9,Russia_10,Russia_11,Russia_12,Russia_13,Russia_14,Russia_15,Russia_16,Russia_17,Russia_18,Russia_19,Russia_20,Russia_21,Russia_22,Russia_23,Russia_pca_1d,Russia_pca_2d,Public services_0,Public services_1,Public services_pca_1d,Public services_pca_2d,Crime_0,Crime_pca_1d,Crypto/net_0,Crypto/net_1,Crypto/net_2,Crypto/net_3,Crypto/net_4,Crypto/net_5,Crypto/net_6,Crypto/net_7,Crypto/net_8,Crypto/net_9,Crypto/net_10,Crypto/net_11,Crypto/net_12,Crypto/net_13,Crypto/net_14,Crypto/net_pca_1d,Crypto/net_pca_2d,Inflation_0,Inflation_pca_1d
publico,0.0067844374934578,-0.0043473788725746,0.0041505660775517,-0.0054887969077505,0.0031410569399156,-0.0044696165977839,-0.0048024461607896,0.0023714894188702,-0.0031454331455399,0.0010279829944857,0.000397567175274,0.002169299478984,-0.001422982561869,0.0030196871919973,-0.001608716837323,0.0028843021881722,-0.0024648229489634,0.001425932735475,0.0021530435983588,-0.0023913796761039,0.0014387097315662,-0.0025383835658891,0.0016380803304869,-0.0016188456422875,-0.0014178204880961,0.0018548836639084,0.0013166549528018,-0.0024714234144411,-2.8774412841358395e-05,0.0009859492784264,0.0022980571716257,-0.0002974826226857,-0.0011653111759564,-0.0010590859344663,0.0022113366975869,-0.00133147499719,-0.0022514992268643,-0.0017931033735836,0.0017204470469296,0.0017915266536379,-5.074006844229753,-0.7491369240955792,0.0101786754069852,0.01087741399813,-0.0056232231793747,0.0029761127347871,-0.0046908956146506,0.006508910242329,-0.00137056639686,0.0030987869911151,-0.0005359839113402,-0.0022117246919624,0.0066208100070176,-0.0001296466667208,0.0111552790999321,-0.0048267845277682,0.0017339024575517,-0.0004602590316083,0.0024556935356914,-0.0042815801747974,0.0022211487369923,-0.0066023546373679,0.0055356601324015,-8.745387238785415e-07,0.005230923864905,-0.0062261898470512,-0.009425274067785218,0.32930873327466526,-0.0115477257051119,0.0056765767082118,0.4252219783572412,-0.04687649478186203,-0.00659902465801,1.455406974297137,,,,,,,,,,,,,,,,,,0.0035392182908824,-0.4531656980380576
vozpopuli,0.0016772920844132,0.0034815587961604,0.0016983353421413,0.00377589060832,-0.0024168023632853,-0.0007859948253391,-0.0030449433723271,-0.0014443936871484,0.0039836582917265,0.0004678568684171,0.01279683142966,-0.0020607165289716,0.0013622883170359,0.0005700948869842,-0.0002636993865869,0.0020536655644447,-0.000217417537595,-0.0023825425672866,0.0011137203067666,-0.0027059767905877,0.0017781280802818,-0.0001478980307223,0.0006745578675944,-0.0005291963035131,0.0008535217791582,0.0008024527940286,0.0087821210746662,0.0001079340305176,3.858395616478496e-05,-0.0013794441074144,0.0024695518611107,-0.007155889078756,0.0003441308127722,0.0010123617810624,-0.0012313781909382,-0.000642219379658,-0.0004454295302764,-0.0003955592906268,0.001984282083857,-0.0010168971020721,5.1680474307235,0.1247498509937506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0095926422879041,0.9666934003968838,,,,,,,,,,,,,,,,,,,
elconfidencial,0.0032914492747215,9.515601754969684e-05,0.0023885905094563,-0.0005254597712032,0.0022610328922374,-0.0013318660435274,-0.0032386208813297,0.0004478931291684,-0.0012772547569938,0.0014337244812263,0.008012927100027,0.000969295968995,0.00053649271641,0.0018934242817606,-0.0009885961143001,-0.0007679908715502,-0.0021027062105429,0.0008851598694028,0.0008519384028822,-0.0010513806300231,0.0011635475970629,-0.0005128733813813,0.0009773974147911,-0.0012071365566207,-0.00161842209092,0.0005076108747394,0.0009750192221835,-0.0010938823444613,-1.0134184204066247e-05,0.0003842837929296,0.0022126022711854,-0.003644665925705,-0.0005555475508284,0.0007921910576726,-0.0013903505021225,-0.0029757095288676,-0.0014026719812074,7.128036912841182e-05,0.0025036465193964,-0.000787066417592,0.7179876906424333,1.275916821858369,0.0017548681070735,-0.0149694035227593,-0.0082849205660326,0.0041806405674283,-0.0026608463162843,0.0107897596866412,0.0023583025734529,0.0025354133815654,0.0030559863537377,-0.0012623052270009,0.0018954725023196,0.0007849319044324,0.0004820419052802,-0.0068371374747324,0.0033943441227697,-0.0005194562148754,0.0042462101131946,-0.0054558066918357,0.0032198294842243,-0.001700903952963,0.0027598482136857,-0.0005749390812179,0.0033455076787354,0.0021542461560245,-1.2486786743588227,0.18848447693711332,-0.001242267471068,-0.0019930156523889,-1.4291723893233421,0.37731356748307077,,,,,,,,,,,,,,,,,,,,0.0036061319862556,-0.45012185754015316
elmundotoday,0.0038148697301986,-0.002741974049665,0.0022540579567846,-0.0015045457571009,0.0007295925820528,-0.0021422491970505,-0.0023719934905474,0.0012266587677239,-0.0002228604253325,0.0003484302602449,0.0001685645917175,0.0023857869674735,-0.0003066330975138,0.0021658473612752,-0.000446755518017,0.0008300885085487,-0.0019025416361675,0.0050670422718554,0.000355109609944,-0.0007709197282416,9.1667547755977e-05,-0.0006727079159507,0.0009781944258269,-0.0010189749500082,-0.0013771247676612,0.0025953200028152,0.0007405565368416,-0.0008862499444322,-0.0002616273696625,-0.0003645241382419,0.0004485724001122,-0.0002879329337037,-0.0004033088914987,-0.0003105816193644,0.0004096622033519,-0.0009859803813516,-0.0002840999214364,-0.0006858913798365,-0.0011724733345757,0.0009284813165927,-1.5113159559397416,2.2997782442345605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huffingtonpost,0.0062780394101019,-0.0045093032489887,0.003758136037886,-0.002105238520372,0.0032241992328911,-0.0049905051802932,-0.0034732535017632,0.0014019466262515,-0.0022870989159112,0.0013245628071501,0.0048942640150191,0.0005887170105497,-0.0005266365508762,0.0019512493023153,-0.0010218728325526,0.0024588289626479,-0.0028080696300364,0.0017944560184121,0.0013352811957031,-0.0021177353440179,0.0014374411125234,-0.0010642540761337,0.0024466566578084,-0.0016086535982409,-0.0015076647526569,0.0014977477917272,0.0021658619423746,-0.0023467385867319,-0.0007960370110963,0.0015194461300005,0.0021263707458468,-0.0005870139032949,-0.0006368598901573,-3.578677372340425e-05,0.0008006408564602,-0.0016180790180913,-0.0014112149453215,-0.0030701510869695,0.0019481409718607,0.0014469075429437,-3.403644677295616,-0.4092685734495611,0.0053918284936661,0.0005951774502778,-0.0103265064264679,0.0184110784346959,0.0004048164963678,0.0112995004820469,0.0024119866134313,0.0015680867618171,0.0031069744340301,-0.0060588627755144,0.0085245232519999,-8.098824797527979e-05,0.0061431236179828,-0.0043699867241256,0.0061394698279896,0.0078329335744507,0.0042082922912408,-0.0065032400506657,0.0102709042677762,-0.0083353265968288,0.0071646669518841,-0.0026873812146494,-0.0056310711876825,-0.0068032633983135,-0.5615450065475228,0.20830633984475674,,,,,,,,,,,,,,,,,,,,,,,,,
newtral,0.0045509199171607,-0.007104565687551,0.002311795591701,-0.0052464663687109,0.0022894955988253,-0.0015520045438369,-0.0028203567983578,0.0023777305827024,-0.004811900130785,0.0006668241451441,0.0021618443406516,0.0028518432614254,0.0003119218261198,0.0013614898487528,-0.0018632298904897,0.0036672848602397,-0.0028954744215229,0.0017946851005083,0.0023835285090806,-0.0023657705768948,0.0004456151434669,-0.0018946358762477,0.0009517556388911,-0.0020246046073,-0.000527140556091,0.0005968284478688,0.0008577672190399,-0.0020315975870585,-0.0011341347336569,0.000216128502429,0.0011787202309889,-0.0021982366195805,6.928024789071285e-05,0.0017132124666009,0.0023964620611873,-0.0011886651861598,-0.0038963626250771,-0.0004968614880963,0.0020176838931452,0.0004560485649879,-3.5382877850722227,-0.17303112338799065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lasexta,0.009050815262501,-0.0064871302326158,0.0043056642553121,-0.0044064902176463,0.0027904184631925,-0.0022994340949813,-0.0034339549308908,0.001622719847712,-0.0014109989632501,0.0010337818505171,0.0043771583057939,0.0009571611037221,0.0006926936727675,0.0018457434679346,-0.0006521597462869,0.0012775494627623,-0.0020385852372523,0.0006109558044489,0.0015295773426422,-0.0017602506586892,0.0012700123685094,-0.0018425673665135,0.0023013389838235,-0.0013748192856835,-0.0014974873563037,0.0010634641472744,0.0021092801475813,-0.0022576699670949,0.0001896453393098,-0.0006538741368021,0.0018193346960167,-0.0020540807635517,-0.0014088555999736,-0.0005310597115661,0.0003408917948434,-0.0012113904223521,-0.0008865698934136,-0.0012479346363663,-0.0009907875553425,0.0021518827403718,-2.6334457108559657,-0.2694946045471643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ondacero,0.0015908870548458,-0.001125186749983,-0.0006610666483171,-0.0005465899911515,-0.000798888857388,0.0006947418995929,-0.0006454395072422,-0.0009826155573568,0.0003290382317312,0.0011653496839537,0.0063676213584007,0.0001692668620095,-0.0011425271741098,0.0026249200198627,-0.0013749533075389,0.000644055653753,-0.0024822494769594,0.000171363607391,0.0008182132544027,-0.0011927986936364,0.0021953835287306,-0.0002539100639116,0.0007891285158715,-0.0006322492121548,-0.0006867085202209,0.0006674168274585,0.005898900934768,-0.0005687227134452,3.3197008188436434e-05,0.0003246281702905,0.0018738027010849,-0.0040178910160444,-0.0029589503278776,0.0027478755319848,0.0020852010015785,-0.0008231365750137,-0.000509959599896,-0.0006706593644642,0.0055569034808819,-0.0014092936359454,2.5282619662894974,2.126279167033295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threadreaderapp,0.0033368754138376,-0.00111363942078,0.0028131000575118,-0.0019553727375387,0.0023337912711856,-0.0032357527480431,-0.0026372382112009,0.0007786499164635,-0.001883760798335,0.0015177346472175,0.0012598676262861,0.0009706338270175,-0.0004178400676574,0.0026129921169078,-0.0010070137275885,0.0026882980155638,-0.0014470130165757,0.0016964112302909,0.0020216325637471,-0.002183199078858,0.0014761024087352,-0.0009079299132206,0.0024027054052987,-0.0013887449451201,-0.0011324984209896,0.0015732855165284,0.0008201281743976,-0.0027084660890237,0.0002288071427629,0.0005339697858135,0.0015360695041564,-0.0001856823563287,-2.171400880729944e-05,0.0002448610533223,0.0003278346371076,-0.0015196433027127,-0.0018325073816565,-0.000918552459475,0.0014415934010397,0.0020264992992604,-2.368375210142271,0.05674890903531223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cronicalibre,0.0022108092739436,-0.0010449800735868,0.0010244461204906,-0.0037378142585215,0.0009585601011594,-0.0021884950216677,-0.0023594876024963,0.0003275747598327,-0.0018196429539433,0.0010909708730371,0.0013492114654986,0.0013199794941464,-0.0002359866928672,0.0018674633021327,-0.000246632702773,0.0036069936934141,-0.0021299802657056,0.0013476473856156,0.0008009903578632,-0.0009436500187795,0.0006583500076441,-0.0006019021381701,0.0009569873729493,-0.0007583791715024,-0.0017536943952186,0.00157912372848,0.0015841932523596,-0.0003519568583377,0.0006809405634563,0.0006516886503399,0.0010476198782385,-0.0008644920400573,-0.0011700820691183,0.0003919193525929,0.0027644941678136,-0.0019831640252072,-0.0043947036652137,8.106132756310067e-05,-0.0016392235486948,0.0005347925446035,-1.186427321717132,1.5955963662206814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diariolarealidad,0.0030716641254457,-0.0030864528510673,0.0036900318631609,-0.0012147584841151,0.0020142727734884,-0.0045750971477493,-0.0025816781964227,0.0035043782079427,-0.001531938293922,-0.0002001885507966,0.0018267591243381,0.0022223473842699,-0.0015159579733893,0.0007285816884868,-0.0003721597887491,0.0007465112963759,-0.0018729087889131,0.0042506525013334,0.0024086104336439,-0.0006324700552715,0.0004921144551427,-0.0004685569650736,0.0007865482113181,-0.0006104298703308,-0.0006989994960246,0.0007791136062414,0.0026119976551849,-0.0020256382402874,-0.0013994217081246,0.0001493280244858,0.0006569135821699,-0.0003469795096936,-0.0004100756407977,-0.0001716159247933,0.0025840336400794,-0.000772242182405,-0.0026410430806701,-0.0019582632129241,-0.0036595905195141,0.0005176477250001,-2.5755302607903787,1.0070871759296534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
