story,Crime_0,Crypto/net_0,Crypto/net_1,Crypto/net_2,Crypto/net_3,Crypto/net_4,Crypto/net_5,Crypto/net_6,Crypto/net_7,Crypto/net_8,Crypto/net_9,Crypto/net_10,Crypto/net_11,Crypto/net_12,Crypto/net_13,Crypto/net_14,Inflation_0,Politics_0,Politics_1,Politics_2,Politics_3,Politics_4,Politics_5,Politics_6,Politics_7,Politics_8,Politics_9,Politics_10,Politics_11,Politics_12,Politics_13,Politics_14,Politics_15,Politics_16,Politics_17,Politics_18,Politics_19,Politics_20,Politics_21,Politics_22,Politics_23,Politics_24,Politics_25,Politics_26,Politics_27,Politics_28,Politics_29,Politics_30,Politics_31,Politics_32,Politics_33,Politics_34,Politics_35,Politics_36,Politics_37,Politics_38,Politics_39,Public services_0,Public services_1,Russia_0,Russia_1,Russia_2,Russia_3,Russia_4,Russia_5,Russia_6,Russia_7,Russia_8,Russia_9,Russia_10,Russia_11,Russia_12,Russia_13,Russia_14,Russia_15,Russia_16,Russia_17,Russia_18,Russia_19,Russia_20,Russia_21,Russia_22,Russia_23
epe,-0.012716905688258867,,,,,,,,,,,,,,,,,0.003897688652192854,-0.003987174398331039,0.002738426636953473,-0.002620062837412389,0.00209011453270144,-0.003590806328228135,-0.0024916661833238297,0.0013167540433379897,-0.000512852443244068,0.002323838667498004,0.006543863265118579,0.0002726310178278291,0.0005585179376692239,0.0019146767557861127,-0.0018978316648370955,0.00027221644601498475,-0.003263943472934266,0.002497443587464076,0.0007674037857491488,-0.000968026125369445,0.0006731177180831569,-0.0006420044318576153,0.0010879403370719577,-0.0013585621172574345,-0.002373542457787802,0.0005239952290857911,0.0013214237387214889,-0.001110180172488314,-3.1448300433138167e-05,0.0009777632737883648,0.0009183368715124502,-0.0007227090449387532,-0.0007430631058123669,-0.0006127732501849321,-0.0009706888059232001,-0.0015751954883951175,-0.0007606584698378535,0.00012212267515298008,0.003569826412378233,0.0007211674222984774,-0.005298562027255038,0.006886564536155576,,,,,,,,,,,,,,,,,,,,,,,,
europapress,-0.030252363375232995,,,,,,,,,,,,,,,,,0.008629381692341974,-0.0010677609375580183,0.0028946433389022697,-0.006968174790690524,7.351193953659269e-05,-0.00013103398644650696,-0.0023906966797660884,5.551634736178715e-05,-0.0015270502774216016,0.0020535087739670427,0.00949466398557611,0.000312058050711668,-0.0014027939577102907,0.0006678769929055854,-0.0003598749615567366,0.0017839678118111903,-0.0019996520098780456,6.406356727880341e-06,0.0012785318469998933,-0.001157247213607767,0.0014911481674884852,-0.0011728304646766718,0.000931786772380724,-0.0013623243980232062,-0.000885711428530769,-0.0008481276609005415,0.0037420041401053364,-0.0012545151558030002,-1.8563357737651763e-05,-0.0007976462849560301,0.0028304515339456007,-0.006051151593574807,-0.0011274686002397758,0.001762077067846765,0.00019105902115927956,-0.00276982234855781,-0.0004170399848176399,0.0005133029027518474,0.0053613739908828,0.0004579980462047061,-0.005903961212394809,-0.0009257587810351797,0.014176994316432517,0.012422010687108367,-0.00960938865929957,0.00511427780983463,-0.003574977240395065,0.009562490721772149,0.00032101033913362054,-0.0007993315439522794,0.0010062208190861135,-0.003488200193598738,0.004702787270768283,-0.0004903889888982008,0.009308372807119353,-0.004562276333377746,0.003040253328039026,0.0017793423164479561,0.005979025590397383,-0.006405881750940048,0.00227691374132509,-0.0064794227247975955,0.00195534916979731,-0.0008335240433758051,0.005303033266134526,-0.004494807442178908
lavanguardia,-0.01914268205389384,,,,,,,,,,,,,,,,,0.006316144891151454,-0.004533792780852593,0.003875882589416041,-0.005799283157247037,0.0018641091136607224,0.0007988692510454698,-0.003133051476673143,0.0003579891317909145,-0.0017419082798084407,0.0016878469618669123,0.0084733621586712,0.001125546483631168,-0.0006484019426088172,0.0015268921381218908,-0.0008003904875195263,0.0024827107905367324,-0.001424774454527107,-0.0005110365582720322,0.0016417008331856275,-0.0012625047641417475,0.001382720153259253,-0.0011756090082060341,0.0017149493349476394,-0.0022749221024003993,-2.4605375845795918e-05,0.0007397549718889881,0.0020260487281026363,-0.0013220501541889237,-0.0012837772697283374,-0.00010997213067638623,0.002347127081978013,-0.0012446495967346968,-0.0008812891521622623,0.0005029966245163461,-0.0003301759914936947,-0.0018301206096929725,-0.002235270783505841,-0.002087326217926084,0.002690291721217676,0.0012632333542655777,-0.011623145074588413,-0.00031201451186730483,0.0038683588164933978,-0.001005525257017359,-0.003285092446037946,0.0039504525123965906,-0.0024053654401408886,0.008529211791524077,0.002152789049380894,0.002290160513371527,0.001381096169427087,-0.0008672582553965122,0.0017484817799800212,-7.257890163281898e-05,0.002664942837671491,-0.00455657639541103,-0.0043087584914107135,-0.0008679464301002762,-0.0005148943987504234,-0.0050988495701249775,0.005624577426796659,-0.001748345568132595,-7.089951691163776e-05,0.0039886215270916806,0.001810190967417736,-0.001598140467731976
lavozdegalicia,-0.021426479121274725,,,,,,,,,,,,,,,,,0.0004085258095081838,-0.00027152600846420656,-0.0014872065565788486,-0.00733515614321132,-0.0034292779272333445,-0.0007728972425579423,-0.0012403055932508128,7.566970283991951e-05,0.0019778977722122466,0.0019030253532029194,0.024855438822214797,0.0002212842763703515,-0.0017357239575677974,-8.113385973852576e-05,0.0001078183093950072,0.003552546650530234,-0.0006038339518236522,0.0004293879343357657,0.0007361827194184512,-0.001381711102779247,0.003805968371544418,0.00021147374547189016,0.0005079591736548924,-0.0004369091382133508,-0.0004802418110264788,0.0004167963950789356,0.0014130181653240774,-0.0012423074552669411,6.501163097676174e-05,0.00011325173783129864,0.005584672969859672,-0.018657450629004937,0.0033263858164650725,-0.0031893769873990513,-0.007264577525817195,-0.0007856360650319923,-0.0008535163662062757,-0.0009672832425594085,0.0040569420577694516,0.0004256529846264909,,,,,,,,,,,,,,,,,,,,,,,,,,
levante-emv,-0.01676172102606762,,,,,,,,,,,,,,,,,0.0011609617591368051,-0.0020643616793002894,0.0028376239501970435,-0.0030778083024589897,0.0012103038931415844,-0.0024755859931315555,-0.003376252671680173,0.0020772388765232,-0.001793601112728603,0.001942221205405676,0.001232460243560024,0.0006888067144254564,-0.0013737601231818414,0.0019089756765230462,-0.00026228750064617376,0.0008885922900797455,-0.0017261256343470976,0.0027261941330387965,0.00201444523269613,-0.0013092690937879861,0.0011196293692517269,-0.003593763892214129,0.0009887504032485735,-0.0016638884519915697,-0.0016105418486249065,0.0005776753915673269,0.000728697055922007,-0.0011960718247833596,-4.803904134225703e-05,0.0005961728160945208,0.0027699764566347174,0.0007270666446845438,-0.0013022050000378932,-0.0007656113165256417,0.002815477540042691,-0.001017360449268691,-0.0020343853919763165,-0.002661688183807229,0.0004921216320522531,0.0007912470850837371,,,,,,,,,,,,,,,,,,,,,,,,,,
twitter,-0.005532324877074234,0.03185762439367468,-0.02709822892333002,0.017586367870949866,-0.024101962884700345,0.024807250287552852,0.010608721652375972,0.04214865726478663,0.0007800756944029001,-0.003057264366026544,0.0007127375337401123,0.018365044985397656,0.008161788083685107,-0.004650345267309099,-0.00025714052215565107,-0.017493569279666086,0.029127420970604445,0.0051124468794698785,-0.0023600589150958307,0.0029039429404259243,-0.003913122072656289,0.0022230260671415175,-0.003441037372116873,-0.004127709066197277,0.0015841639049621117,-0.0022793773552361313,0.001222231478363877,0.0019323277562217772,0.0020035914401018186,-0.0023858855544386555,0.0021883630573606844,-0.0005515849779689237,0.002308414651467066,-0.00256642160962613,0.0016324612427304208,0.002176321118521108,-0.0025879594865716414,0.0023543721115869345,-0.0011308406872742802,0.00219746318894146,-0.0012881837859687224,-0.0016987229880352957,0.0019946958526224218,0.0015479818518924215,-0.0031972584232710967,0.0003376551688530486,0.0030622768353355534,0.0018135229972928869,-0.0010055507112297288,-0.0013914999445770408,1.7914115381404902e-05,0.0020208522294143903,-0.001846490563113562,-0.0015878083715184406,-0.0014943954130125885,-3.8722802776565424e-05,0.0019029852669807355,-0.008710288157378954,0.006637486927274727,0.014047894464065125,0.007923309292421594,-0.010195654299754525,0.00750652239879776,-0.010573828031146502,0.008884182050634959,-0.010035744545561907,0.002454908076078198,0.0005176892714389598,-0.005682708415013879,0.009310057785744605,-0.0004636407842041404,0.012683763401193343,-0.007638257767570378,0.0025560287314119884,-0.002861791488448378,0.004884048208581293,-0.009589889460391923,0.0020214581163131226,-0.009002085713382388,0.005049287846584233,-0.0021948875979903824,0.003995034711109836,-0.0046572006075280975
ultimahora,-0.0112496589131841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00595df7f1fea5879cfa94abb5ba2bdb9597e40e,-0.0008109946673598115,,,,,,,,,,,,,,,,,0.00023555433130413253,-0.00015943300295366133,0.00023735971770220488,-0.00034281090126232023,0.00012191185468963758,-0.00027239087908432244,-0.000409005904042831,0.00011572979355465565,-0.00016977832137468087,0.00016419850451777196,0.0006699785149582201,0.0001197153304744217,-0.00011081923646964964,0.00030375306636975185,-0.00015713434359969293,0.00029005111189780845,-0.00031847960304921407,0.00018448109908273,0.0002874635716103445,-0.0003187170262869438,0.00024036427679843185,-0.0002373420212677266,0.00030574758271638316,-0.0002564473875239687,-0.00023138076269576288,0.0002280700495011301,0.0004049696037760046,-0.0003741833547119,-2.570476760134392e-05,0.00010069947808098592,0.00044266974454530255,-0.0005394330766389621,-9.418989264279936e-05,-3.660634516683723e-05,0.00015716641969986149,-0.0003863934499238851,-0.0003232178920358675,-0.0002849471629981584,0.0005470729298351191,0.00025942373434052757,,,,,,,,,,,,,,,,,,,,,,,,,,
abc,-0.01090912432260428,,,,,,,,,,,,,,,,,0.002071264537338027,0.0020795497778372685,4.004900029166807e-06,9.451583900930635e-05,-0.004334092284961038,-0.0032715945791053063,-0.001055718339407717,0.00023860984679517118,0.0007378916035067941,0.0011097353002742479,0.007765271552811896,0.001139170298037985,-0.0006185363891188381,0.001618636893884592,-0.0008443872613703178,-0.0009057725979848578,-0.0012656848909341541,0.0014558800971104316,0.0024697442409081687,-0.001588076591562119,0.0005065891877741712,-0.0012305071169826506,0.0008143136320168153,-0.0013222190444982394,0.0002469403592145099,0.0006664966022654878,0.004175069103068861,-0.0010479838374333377,0.0005457029247640174,-0.00069726690519564,0.0024671967470128093,-0.0045390420315214505,0.0019264649461392253,-0.0007138415644145954,-0.00190867801974291,-0.002267814370670099,-0.00046892607244536713,-0.0011179045955828897,-0.0014499387364743266,0.00011103490273552813,,,0.004488900942386326,-0.007496672931853576,-0.005248828184023002,0.011330745639922563,0.0028068353706086208,0.005298156892647191,0.0008973870657420675,-0.004825644825155989,0.0007274071067541899,0.0003392247392400849,0.0019811583205997588,-0.00010401850666063271,0.0003865332754646039,-0.0028966329298882876,0.0005622513186572947,0.00033131669731365117,-0.003187268975944242,-0.006128884244900018,0.005165149485275904,-0.005905946685273486,0.018873710647694955,0.005208375643644375,0.000133342075527218,0.008003535760568087
telecinco,-0.017769568608453818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
