story,Politics_0,Politics_1,Politics_2,Politics_3,Politics_4,Politics_5,Politics_6,Politics_7,Politics_8,Politics_9,Politics_10,Politics_11,Politics_12,Politics_13,Politics_14,Politics_15,Politics_16,Politics_pca_1d,Politics_pca_2d,Russia_0,Russia_1,Russia_2,Russia_3,Russia_4,Russia_5,Russia_6,Russia_7,Russia_8,Russia_9,Russia_10,Russia_pca_1d,Russia_pca_2d,Public services_0,Public services_1,Public services_2,Public services_3,Public services_4,Public services_5,Public services_6,Public services_7,Public services_8,Public services_9,Public services_10,Public services_pca_1d,Public services_pca_2d,Crime_0,Crime_1,Crime_2,Crime_3,Crime_4,Crime_5,Crime_6,Crime_7,Crime_8,Crime_9,Crime_10,Crime_11,Crime_12,Crime_pca_1d,Crime_pca_2d,Crypto/net_0,Crypto/net_1,Crypto/net_2,Crypto/net_3,Crypto/net_4,Crypto/net_5,Crypto/net_pca_1d,Crypto/net_pca_2d,Inflation_0,Inflation_1,Inflation_2,Inflation_3,Inflation_4,Inflation_pca_1d,Inflation_pca_2d
maldita,-0.0346577317129643,0.0256341971882608,0.2809571965769798,0.2512178171730537,0.1013325314396757,-0.0430949902722769,-0.1175980726387138,-0.0686940338701272,0.0448731617861287,0.0019713568958763,-0.0788870479582356,0.0113582423883947,0.0937524876786382,0.0918498044167374,0.0364850554449157,0.0553361352449028,-0.0480617875150799,-0.7187881444532345,0.08464394897769306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
theobjective,-0.0154302809449765,0.0500637893952455,0.5725224338354075,0.2906963239112323,-0.1185066990403325,-0.2644741472358936,-0.0130769557074902,-0.1446603485993332,-0.0129284535592347,0.0294467438520697,-0.2638585293771207,0.0999401166954754,-0.1844425599280533,-0.0026387491176128,0.1890424986054774,0.1174272892697575,0.1766177295207213,0.03643374310799258,0.6763974641746022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blogspot,-0.0864009097968619,-0.0127074373574185,-0.1748867392413697,0.3410351312676944,0.0102148518869798,-0.0732432823730991,-0.1824316523522991,0.2740664875059505,0.1175137339907601,-0.2320669493089189,0.1867771467134861,-0.0497028650453413,0.0152741561161062,0.0937472774857963,0.0881533607277604,-0.3080495609621774,-0.7753021397329248,-0.41052233295667995,0.37065928915909757,,,,,,,,,,,,,,0.5805542116602322,-0.5032431626121594,-0.1137065890479517,0.752102664264044,0.1746487716615402,-0.1132088684600731,-0.1127381295471653,0.0318405680817773,-0.041774887858985,-0.0451764776975666,-0.0117779965121872,0.23563186793274243,-0.5513925309211067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccma,-0.0733875653327098,0.0075663921492236,-0.1111866777541057,0.127403156771554,-0.2981119078436521,-0.21276180862662,0.6264738513647848,0.0146721516745444,-0.3026744937097437,0.192070316619555,0.0042103221785069,0.1495678214817035,-0.1811028374888197,0.1479385890527964,-0.1606338357815927,0.0900285786667752,-0.1061220793582064,1.6432883749074139,0.08929701579013125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cope,-0.0147395722617187,-0.0079917261727609,0.1085444731105026,-0.1620894703307361,0.0960645101116469,-0.0287235144793169,0.0169658420942251,0.0011280677295262,-0.1126995927215176,0.0509312761431725,-0.1348685877226897,-0.0445308887935255,-0.033323994501682,0.0003514151445523,-0.0001817246566388,-0.0587727085576345,0.0671140195777033,-0.2084740433840046,-0.9547927007123128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ctxt,-0.0590541039711358,0.5511585036537718,-0.3425388316814809,0.1167248431774929,-0.1704240298940159,0.0661395034293726,-0.0477252641455252,0.2188153835019916,0.2056646079070027,-0.1476472204191102,0.316208606383887,-0.3442364837799233,0.2036044266527074,0.0031600832265889,-0.0495948882055907,-0.0280760489760949,0.0155389545602803,-0.40178114138425663,1.263824719241766,-0.4269288146360178,-0.7538694507713632,0.3853787061088153,0.1422781976650902,-0.1972408133724832,-0.0805552974388925,0.8114192052726044,-0.5504882205935216,-0.1951258614575236,0.3465035982524257,0.3202731586642587,-3.4999478726057336,0.4191683661426904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diario16,-0.0194716996301654,-0.0237228379398345,-0.134413360231574,-0.1831593917749954,0.0173930469086846,0.0843889424306097,-0.060577514745119,0.0175453990292908,-0.0265755606062639,0.0415998604018307,-0.0010394713171693,0.0147054631369522,0.0186312276200857,-0.048665475497605,0.0401318924263577,0.0109672789048378,0.037960130355929,-0.39550143336895466,-1.2627140512759352,,,,,,,,,,,,,,-0.3198311002325005,-0.0235053310410092,-0.0401940450405924,0.0253123711681232,-0.0129988616235121,-0.1254567872736846,0.1052336053966793,0.1223339585666327,-0.0699616942036666,-0.0538010383417654,-0.0315438971235126,0.49341403452847515,-0.4396246821104456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
efe,-0.0477300018958027,0.0350400805469994,0.9527776142115344,0.932250106505937,-0.7965236159120543,3.949594973485968,0.5660275213127454,-0.3143808691810055,-0.0696117985046587,0.014275612553044,-0.1227879501261845,0.124094684297212,-0.2752571412829854,0.0978113181645181,0.0001553306804896,-0.0294789479511811,0.0856582246147788,2.5806968824332057,4.34458540872164,-0.105477723413771,0.5708447040178563,0.3689183122822271,1.5368214949070305,0.0224386474243666,1.2098578083839076,-0.0366982942004705,0.063123643273411,-0.1841162810140026,-0.0837374045995343,-0.0564695352258181,0.20994794453971063,-1.784028824464927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elcorreo,-0.0511801783000986,-0.0163099342406154,0.1543866740252317,0.0135844345470901,-0.0042815772085622,-0.0575151361230958,0.0261880918437239,-0.0216571620915138,-0.055427859310205,-0.0172451640715682,0.0626318564334087,0.1625468716082017,0.0869784093861096,-0.0751998313484844,-0.0403254151748939,0.0934548647653899,-0.129720468357666,-0.11614662911765974,-0.7916542131335446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eldebate,-0.0112190131326619,0.0030307266947406,0.5786976929392991,0.073567021711721,0.0493896715307783,-0.2295543115589558,-0.0283897662222426,-0.1059927979626697,0.0798509798906235,0.4627319102404666,0.5515510866071361,0.1162446056637993,-1.6373054215161889,-1.1261773392882208,0.1157476476073366,0.328342977980881,-0.1593956662031179,-1.5862951617250138,0.3928622063399621,-0.2183848960400758,-0.1857399104733005,0.260269953243442,0.1995822341333169,-0.0670292440873724,-0.1133412964970214,-0.2578282781429798,0.0404966326830783,0.5820782256378378,-0.1083032752205016,-0.3005262809730505,0.079081078419572,-0.40685858480204384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
