story,Crime_0,Crime_1,Crime_2,Crime_3,Crime_4,Crime_5,Crime_6,Crime_7,Crime_8,Crime_9,Crime_10,Crime_11,Crime_12,Crypto/net_0,Crypto/net_1,Crypto/net_2,Crypto/net_3,Crypto/net_4,Crypto/net_5,Inflation_0,Inflation_1,Inflation_2,Inflation_3,Inflation_4,Politics_0,Politics_1,Politics_2,Politics_3,Politics_4,Politics_5,Politics_6,Politics_7,Politics_8,Politics_9,Politics_10,Politics_11,Politics_12,Politics_13,Politics_14,Politics_15,Politics_16,Public services_0,Public services_1,Public services_2,Public services_3,Public services_4,Public services_5,Public services_6,Public services_7,Public services_8,Public services_9,Public services_10,Russia_0,Russia_1,Russia_2,Russia_3,Russia_4,Russia_5,Russia_6,Russia_7,Russia_8,Russia_9,Russia_10
telemadrid,0.36309795051556537,-0.21902063062204713,0.10953418052065503,0.129323974045519,-0.004890195679947432,0.11057472221758925,-0.13535459146684772,-0.02837776751944642,0.4688560899800297,0.09140634929360958,-0.3133570996705509,0.1462430335366277,-0.6649484969854896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
twitter,-0.4409627722904854,0.3295899141795176,0.44592237758664716,-0.09429440892231102,-0.14336269599505957,0.22577547827511377,0.061140181250205164,-0.09551961665794724,0.38002761414767045,-0.2573515836861128,0.0015019846090824282,-0.07331960888356517,0.025327560088935733,0.4114131097449517,-0.1195277780693528,0.7700966817187769,-0.7526597175542915,0.18035648007864596,-0.09098603399195526,0.4068537987741945,1.2278612630856194,-1.079694411806072,0.23397799300061384,-0.4385075290375434,-0.08225870670950756,-0.04564318352605603,-0.24618119157198673,0.16419442898766815,-0.13899975095978806,-0.03606467442479687,-0.05793089989050221,-0.17100698243482576,-0.0028930400738478787,0.0011859246763250477,-0.06446708206503368,0.0864533038631797,0.013586666811897777,-0.05221477061038576,0.061238063662477256,-0.07797260611493888,-0.07391497114430498,-0.26078959227511866,-0.2584662525602582,0.303913064279167,-0.04376870035060173,-0.028090524068468,-0.07660943647562046,0.01485156845785919,-0.11061099419483615,0.2697897771957213,0.008241317386629391,0.03990524999321559,-0.17886005674866834,-0.26155755083989035,-0.0678674784821562,-0.21860394057345117,-0.04183015059132386,0.2859072469935111,-0.2501864008874171,-0.02944538286542471,0.07714025526544849,0.09359815004780991,0.03623643380305269
abc,0.07096325253710713,-0.10625649994525635,-0.003250199378018173,-0.08720765050790606,-0.03388444248701673,0.03697768737628789,0.09319740698105095,-0.2879507893476734,-0.08979797460153335,0.004631438664092671,0.15038836903928543,-0.1060148308395013,-0.07514201114933072,,,,,,,,,,,,0.005801745370628242,0.019078008640230883,0.5179866248172235,0.18326833404009388,-0.0008500886240547477,-0.13967475541220417,-0.06771971495279173,-0.10610004847600471,-0.006030984474851441,-0.023120269138398465,-0.1396722134291507,0.09690583853661308,-0.20747260221705435,0.3019651770174687,0.17097600838420773,0.355171287917995,-0.01907900646188685,,,,,,,,,,,,-0.12556920705490182,0.18970369546215232,-0.23536147260884488,-0.1299543286223875,0.13666715178863953,-0.09213470201714694,0.17738460516011492,0.06099007989355759,-0.06042329727606174,-0.29607522556410804,-0.031022144206263928
antena3,0.08927593324237208,-0.1467921446517739,-0.0642783444624645,-0.02161283430177313,0.08628408611718756,0.11745902750886525,0.1276647802380598,0.14772284070231,-0.13593193696130987,0.1593130384005846,-0.09817416613497473,-0.18116018614381296,-0.14253413036526993,,,,,,,,,,,,0.008175283767948778,-0.0075813948626134095,0.29936671751778215,0.09406168201550504,0.07615532202219158,-0.06284734353170177,-0.18601151767496402,-0.14481580885301223,0.008458471254269549,-0.03430723980807431,-0.11336654659364906,6.519832070207149e-05,-0.051601593874260845,0.17568527600668093,-0.12752932982901127,0.2155172239532948,0.022406962822535993,,,,,,,,,,,,,,,,,,,,,,
cadenaser,-0.09230399990803817,0.005903704121392841,-0.10900002860120725,-0.04790390432388868,0.041847171634447164,-0.0989622532650723,0.12867041933705486,0.0199311784260292,-0.025947839523460067,-0.049752752054437174,-0.16885172236292817,-0.05786000445713792,0.2504388481073946,,,,,,,-0.24050692438681184,-0.07926665337009314,0.0936719300452081,-0.09679955528509397,-0.13079080702858475,-0.01730098771020053,-0.025917895323106004,0.020158218700922777,-0.15835190430380225,0.06988439034350333,0.03105560463890819,-0.05797973182451733,-0.010723027020068197,-0.03284608855097717,0.03793717126132574,-0.02890161135620804,0.029833667642494455,-0.02401613230097672,0.010651577606125603,-0.012568000740748039,0.01032248042969213,-0.011590088779243515,-0.1621831106406021,0.07235538616650602,-0.14831829654440068,-0.05944127520779585,-0.05281939546627378,-0.007315400557756204,-0.12797587765550913,0.08770829779580504,-0.028521012194423004,0.10280191371068614,-0.16382261957415867,-0.06150673626734767,0.4199791433415581,-0.3592612823210317,-0.1078835174321289,0.14323243857331527,0.10776302870041253,0.04360627640242684,-0.2654868932850124,0.30295646437481205,-0.49633752600223235,0.23545504366883963
diariodemallorca,0.5216392665485514,-0.34596828619158804,0.09334595867701213,0.25382837282081894,-0.9304624820147948,-0.3014579275057075,-0.9522352462811902,-0.4783100373531999,0.3501623092702234,0.03384264673078137,0.36374528643073384,0.44365878687031457,0.7687669864834656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diariodesevilla,0.16066612147754916,-0.08536572688660331,0.06043505287278751,-0.007486811511353103,-0.10494190083239016,0.10374625243521364,-0.09005885092697291,-0.0540457677246636,0.028866629670192254,-0.06799912912726844,0.10441643243696515,-0.1150805427552236,0.12684356588845827,,,,,,,,,,,,-0.0019188475903720924,0.045060316604816214,0.4941934198830409,-0.07159269284135208,-0.0299608969083862,-0.06708453054288295,-0.07535577844769467,0.2022901136442154,0.004760857829148353,-0.31699740739282334,0.0911955551190869,-0.06744879637175841,0.12551198095907076,-0.09496762015427036,-0.029327976910021324,0.04692435501673483,0.03487374004577255,0.2549746051361374,0.004510729011986736,-0.15115193757490053,-0.1255485694517016,-0.1468570320730797,0.04187771760723587,-0.12230921195460165,-0.006008116254422969,-0.12632774674696493,0.19535554070336358,-0.18583205392601476,,,,,,,,,,,
elcomercio,0.07245136903706763,-0.11293403669292107,-0.24035208967329194,0.05359281414116569,-0.04187280549011244,0.5458776571961723,-0.3445347924375447,0.570330118380865,0.35467959443859237,-0.009647008127792083,-0.32592811653636306,-0.03614932907111815,0.1996523906675205,,,,,,,,,,,,0.002798330884025215,0.0789018154810764,0.9049569435137788,0.25195526312639505,-0.05825366035767136,-0.08863356524775276,-0.16123070428257044,0.07490714227872192,0.21257760080303595,-0.568719498363951,0.37124456489559365,-0.2442950814722229,0.14494473453165402,-0.4842062038154046,0.5144405457884078,-0.20018793169051863,-1.0854215791470656,0.13026328041043045,1.2437697109797567,-0.5109686649068412,0.2107524524239158,0.2011647594834053,-0.32715423886087364,-1.3542706654113768,-1.6811051401229338,0.11028002232207659,1.2353150440414844,1.1898975548390527,,,,,,,,,,,
elconfidencial,-0.05570610569725407,0.054441922660453494,0.045002193895433494,0.047426343751448365,-0.06695752654448511,-0.21175834951006497,0.03009455272027913,0.3271623734116675,-0.10859384768755725,-0.2232385532431621,0.3521892927642562,-0.00416811321637892,0.31413282420955946,-0.40515519710543796,0.1592743343563201,-0.2516610551994133,-0.2870408891011236,0.0407370625859927,0.09533265206492966,0.10868801166657291,0.12281118955273189,-0.12030437867948188,0.029366489670967916,0.5507514755134721,-0.011682086546707993,0.02836559928091558,0.3621911095016087,0.0559715228333157,-0.0250812499527583,-0.06041206451261016,-0.06045022995500777,-0.029151470016873123,-0.0010265320101027972,0.08579514645034779,-0.04521677988694761,-0.01796880102589888,-0.022565889470710993,0.019065154617057985,-0.13879081777297927,0.034939319296023404,0.008312923770090306,0.39973317372739536,-0.1627437103266734,0.05471467611970281,-0.2943114975816561,0.09306663848577337,0.07979876892727869,-0.009792288797097155,-0.33771052165002924,0.13472075951862186,-0.4487566351176875,-0.08252639353434336,-0.0868128161273178,0.19983199145588976,-0.180558884272264,0.022856438671255665,0.09999490842153315,-0.027063807705514795,0.10733609296692977,-0.06902443757725589,-0.2439725024722889,-0.1492217572313483,-0.11626081206264435
elindependiente,0.04472805558643275,-0.03134847598151152,-0.2194604019737204,0.2988956063061826,0.06515193917521922,-0.328775957920694,-0.06652960238335742,-0.25737484930079146,0.18249547931895357,0.07314990134709566,0.11018827539987351,-0.37765795343576425,0.045252405511843764,,,,,,,,,,,,0.006084075954409496,0.02197357148430769,0.511691512593992,0.10377259843700466,-0.03440507203378353,0.009456015134004507,-0.07289090065630399,-0.11056631153448519,0.02026045313527296,0.11032057219359809,-0.04600416172962245,-0.0580347038207207,0.08649136748526023,-0.04290198162425311,-0.1734806220679347,0.09376033443465019,-0.08551049156590006,,,,,,,,,,,,,,,,,,,,,,
