story,Crime_0,Crypto/net_0,Crypto/net_1,Crypto/net_2,Crypto/net_3,Crypto/net_4,Crypto/net_5,Crypto/net_6,Crypto/net_7,Crypto/net_8,Crypto/net_9,Crypto/net_10,Crypto/net_11,Crypto/net_12,Crypto/net_13,Inflation_0,Politics_0,Politics_1,Politics_2,Politics_3,Politics_4,Politics_5,Politics_6,Politics_7,Politics_8,Politics_9,Politics_10,Politics_11,Politics_12,Politics_13,Politics_14,Politics_15,Politics_16,Politics_17,Politics_18,Politics_19,Politics_20,Politics_21,Politics_22,Politics_23,Politics_24,Politics_25,Politics_26,Politics_27,Politics_28,Politics_29,Politics_30,Politics_31,Politics_32,Public services_0,Public services_1,Russia_0,Russia_1,Russia_2,Russia_3,Russia_4,Russia_5,Russia_6,Russia_7,Russia_8,Russia_9,Russia_10,Russia_11,Russia_12,Russia_13,Russia_14,Russia_15,Russia_16,Russia_17,Russia_18
elperiodico,-0.007489097932930455,,,,,,,,,,,,,,,,0.003016962213512104,-0.0017648620208479794,-0.00040914706029582075,0.001236078194021886,-0.0014542129217851368,-0.0005298417978020245,-0.0012654599963967533,0.0006110604781799369,-0.0008874208650338253,-0.0006619657407628812,0.0007270764216126006,-0.0024697862127506906,0.0011512436842844114,-0.00116442039828087,0.002135969921529115,-0.001738666580391184,0.0006986805969123266,1.9287117299038125e-06,0.0010137066949829172,-0.0009612956672820084,0.001922312195819715,-0.0007815082036932688,0.0008606954039059743,-0.00030746635249277,-0.0009834953683253893,-0.0017074286563202286,0.0013174129188257713,-0.0005099865084695782,0.0005850118576899118,-0.0006930059097860482,-0.0014147445446014725,0.001184086203065155,-0.0010474335481052005,-0.0011613789089078008,-0.0013229040398776296,0.006841323729160895,-0.0037168162736605226,-0.006503760465186803,0.0009656582376248168,0.005439499581376475,-0.0036433135927986266,-0.0059931315953346415,-0.0026785190897648387,-0.003825020399637981,0.00130039410462518,-0.0003289198881241129,-0.0017049104416197204,-0.003156312224296017,-0.0009999144659286266,0.003174904042749581,-0.0054526063240031945,0.00614250913265388,-0.007144279628172594,0.0062009873796800286
europapress,-0.013246522287868455,,,,,,,,,,,,,,,-0.001951495840683215,0.0007270020615073036,-0.0034289117925909024,-0.0014855439880128996,0.0029611961581593113,-0.0006508439371131422,-0.0008049214078709819,-0.00036381513207520144,0.0006724067535718338,1.5156023958788623e-05,-0.000621423287542909,0.0011144921678301993,-0.0007297155655071035,0.0017005478804686088,-0.0010885058255512697,0.0010692692452711032,-0.0017090621064334774,0.0007548707731647453,-9.236178722669118e-05,0.0008090214360792006,-0.0007497141639736978,0.000748973070510351,-0.001010315932965241,0.00039445511643981107,-0.0008053552947731668,-0.0006763764497836125,-0.0001770279271375158,0.001136571815316307,4.5721504454133825e-05,0.0017204925046079237,-0.0007682979036158733,-0.0034136969230875447,-9.888055058978815e-05,-0.0009985811039637457,0.0011105741901677318,-0.002062199570606965,0.007414891720277761,-0.005926880267665441,0.006004374036346599,-0.003576637092223431,0.0032354453728851984,-0.0019586621469734507,0.004209595766632129,0.0003755901731119504,-0.002281524409106103,0.0025163003252527127,-0.003003696621077842,-0.002389944066081881,0.00035937518366083165,-0.003158159630503074,0.0037534120243718494,-0.0022980311933116573,0.0033864679332193913,-0.0011945755638454424,0.002160249301163625
infobae,-0.002369475290497698,,,,,,,,,,,,,,,,0.0005589786481021699,0.0007716670160262315,-0.001498148212014319,0.0006730303320567342,-0.0010047590035950692,-0.0001555486097662743,-0.000730758734130195,0.000571341739776758,-0.0007655457481976372,-0.0005663475438877474,0.0006072650160871706,-0.0015682872132781536,0.0006073380279415749,-0.0006255301168598104,0.0006920613408742832,-0.0008006658934220497,0.0007734736711298114,4.251873837305301e-06,0.0005369500233104582,-0.0005768872331736806,-0.0003735240979848049,-0.0006220723016758275,0.0009082154517692839,-0.0003099755288323078,-0.001491253795474698,-0.0007144187309418111,0.0007980428732749594,4.957697810126578e-05,0.0015682481849393654,-0.0006422633835269457,-0.0014158719697632421,0.0006741159923932923,-0.0007228466371808698,,,-0.001879132133219559,0.004554847300252213,-0.025182063169494145,0.0002974653564172536,0.0017227263851826574,-0.0015463207150971693,-0.007206126923088698,-0.0023878056678181686,0.005573504472335983,0.0018895936196588192,0.0048160891030391145,-0.0011577667498527539,-0.007528399123849942,0.00019897657653628054,-0.00837921303175821,-0.0017526429007189565,0.002541351622221598,-0.0022382511020130023,0.0001828576124295947
rtve,-0.002182894627201979,,,,,,,,,,,,,,,,-0.0009698105150782192,-0.0017688727413367328,-0.0013534374537668755,0.003427095541509431,-0.0018115019043483237,-0.00031044449839757126,0.00020047742859082614,0.0005333682446445076,0.0018115088960323949,0.0012527009369355602,0.0007835143196958474,-0.0014297157530156774,0.0013933080096581614,-0.0013608998552276977,0.0014427167829713697,-0.0014637784448295397,0.000550305881734948,4.147871983878386e-06,0.00047987923364705196,-0.0013555110333926018,0.0003619234861836184,-0.00037325069484794903,0.0006376112905100271,-0.0002662551440748181,-0.0004202061603317008,0.0024888672296637894,0.0006505319620949031,0.0005583547133420089,0.0014097911853660776,-0.0005875746131314576,-0.000560987038546055,-0.0001822238480949927,-0.0007421425204475977,,,0.006589686047998955,-0.01622578545197095,0.002112890414339638,-0.00853928735805222,0.0034737662268602976,0.0009451248405801874,0.0012003119810693602,0.0011951875444416952,-0.0023589213740139135,0.004308325891992801,-0.0033514844312267436,-0.004293568143336741,0.0016089950121280037,-0.003174936939813867,0.0005877672209416577,-0.009429675338233995,0.0032497910431967874,0.00202568489257513,0.002639870647687616
telemadrid,-0.008913197036321537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
twitter,-0.0034570330882282025,0.011902802348492836,-0.008059735541605273,0.011712852913347033,-0.008883021544039957,0.01139234056030329,-0.011222478291680674,-0.0012865661292820732,0.009218749150111262,0.0060199961482309,-0.001776733951121258,-0.0014405497258235603,-0.0023409009279492868,-0.007913538917394786,-0.0087665039613899,-0.01724428369232983,0.002475284207758388,-0.0032298597160514975,-0.0018810168997971319,0.0022303263663939164,-0.002933264504453508,-0.0004401149284867247,-0.0020429287982045644,0.0014296308753754677,-0.002123527163476066,-0.0014769015178595427,0.0013747475292495044,-0.0009180595652468768,0.0013235143208779067,-0.001577392062142427,0.0015092250560069008,-0.002523432563706604,0.0014640408537810526,0.00010911896348927427,0.000995758176878497,-0.0015181931315289155,0.0011328437970950143,-0.0010280026979159196,0.0029873325745228916,0.00028104931544830437,-0.0011969156831945337,-0.0018424155011919565,0.0018332367087874253,-0.00028964135710213176,0.0007563661120928552,-0.0010681453381006895,1.2365467660594136e-05,0.0013227513040558513,-0.0019601337484302585,0.004082849557038741,0.0033531508542880978,0.00971089490464605,-0.006348944242113713,0.0034049623340709767,-0.0062375981091947474,0.010694384565371973,-0.004399639548298223,0.0008030944027002385,-0.0020571202321769955,-0.004983276126622679,0.005839964825759533,-0.0050639622512583665,-0.004918670410078103,0.0004147119270667028,-0.006771005004314629,0.0035751809459214495,-0.0032419217800974537,0.0029173546357888144,-0.0032939655649714267,0.002650404669469364
004f3d20a8e743a73c5c0fd4b92e72cf8c20a972,-0.0019411883547069168,0.0023685743189151005,-0.0030693734931211054,0.003299112938012223,-0.0026462254435664734,0.003390690292583517,-0.0025535622192149375,0.0001980474662947444,0.004126963144904463,0.0008068478208967968,-5.5353734626529574e-05,0.0007550945724203496,-0.0001342231796928709,0.002074118616041311,-0.004058311638515768,-0.0006217544305703232,0.001404111682187491,-0.001179428615332183,-0.0011338305235379731,0.0011265431319042358,-0.0015693958328751938,-0.00022039990122226492,-0.0010998365364501884,0.0008750123559562094,-0.0011334714924630708,-0.0008460762425601552,0.0008866619183786855,-0.0009798288432999627,0.0008687286769262383,-0.0009029316966428632,0.0009818794462298846,-0.0011468818942408647,0.0011085893581262649,7.084054287799735e-06,0.0007759748232920077,-0.0009710039628106344,0.0007625917343877249,-0.0006653457300383266,0.0011020581395300225,-0.00038765251260496156,-0.0006999700383783999,-0.0009306069451718662,0.0010008483844263208,8.29149118137926e-05,0.0007060352481777188,-0.0007892451676830392,-0.0005663414623222518,0.0008266288384598621,-0.00096917970185929,0.0013219342586128224,0.0013784899641787363,0.001454598746759711,-0.0015204577843132006,-0.0004338554048819998,-0.0015364148195641247,0.001702307214997277,-0.0010875019680174625,0.0008016813507395956,-0.0006995402093064237,-0.0009510712029920237,0.0014264743717401739,-0.0008775101846048572,-0.0014848180881436544,-0.000453445160002737,-0.0014269258496701145,0.0009962413298855166,-0.0015099109379098571,0.0010970265993218015,-0.0010396500311287034,0.000981722496876239
abc,-0.005482407153121242,,,,,,,,,,,,,,,,-0.0010630178732537656,-0.0018231324548931569,0.00013310072880325617,0.0007000992132023729,0.0020424072790858018,-0.0024262552496655703,-0.0010306551709153402,0.0015426371548263196,-0.0019282853983476817,0.000485162943689596,0.0006502124197202228,-0.0011352725148710296,0.0024183952061670425,0.00024636621005509575,0.0012361215166768417,-0.0017929785164470912,0.0009504714432012917,0.00031731610053910113,0.0009467796301993513,-0.0011907892344402073,0.0012761478222572706,0.0001160814973033197,0.0005753380450952842,-0.0008994283447992786,-0.0009559800516842332,-0.000732103899591136,0.0011208315182836825,0.0003628844170816992,0.002055839303929767,-0.00032698034919523646,-0.0036958256410596075,0.0012075604948080195,-0.000979042169045069,,,0.002792677145069991,-0.0013770123495414621,-0.0014547535726551764,-0.007460315782185489,0.0012951230455729226,0.00024811525180828964,0.0026992173797837915,0.001029330197645062,-9.657350148925548e-05,-9.129780629618667e-05,-0.0010853222877495183,-0.001450933600998662,0.0007857576722119022,-0.0008322369230563259,-0.00022641767741322927,-0.0030596722553729375,0.0014767192364414858,-0.002500354370581239,0.0016936606323649794
antena3,-0.010154200694420723,,,,,,,,,,,,,,,,0.0005201253720749943,-0.002287909018106428,-0.0005480941657863302,0.0005695250776845006,-0.0008090184133245333,-0.00013645839637567761,0.0007903656863931512,0.0007096135194114639,-0.002150258822229235,-0.00023612127206618354,0.00047270467416198536,-0.0005469999784651256,0.0005394300662898921,0.0010022757214031178,0.0006684083273413982,-0.0007805127235408208,0.0007452034786047403,-2.101462178191903e-06,0.0005268444577157186,-0.0008462429195008503,0.0020758201949441822,-0.0001907803451527672,-0.0021454663955149606,-0.0017149594363882075,-0.0023214510470835293,0.0009311487410819664,0.0010769789154778337,5.433545621394488e-05,0.0022028316372975404,-0.0004629009466151028,0.001197932360487929,0.0005253390009137383,-0.0007198924555093396,,,,,,,,,,,,,,,,,,,,,
cadenaser,-0.008982240311810052,,,,,,,,,,,,,,,-0.0019460599354559462,0.00320883917896414,-0.0019172680839077971,-0.0015259726821538477,0.001508869459213323,-0.00168992213381855,-8.955129508016017e-05,-0.00116921550643867,0.0011795671567598268,-0.0011575704983508434,-0.0008017747035163059,0.0009752875910559594,-0.0011545203755663341,0.0008149016237405681,-0.0009631278599802617,0.0009743518467152969,-0.0007448468557266913,0.0012822365067385877,-8.428641338490295e-05,0.000725448826196011,-0.0011329659554331073,0.0009304777801541278,-0.0005341155482484483,0.001014782961643132,-0.0007105763281040466,-0.0007159595563981866,-0.001016839805528233,0.0008551123807903557,-9.858884168758891e-06,0.0006298362990089096,-0.0007065520429177501,-0.00048492526323168014,0.0006657035731198815,-0.0010626442099801493,0.002813086180739055,0.0033105677154765534,0.0023431335183392993,-0.004048040092112737,-0.004227695707489813,-0.0014580701942270638,0.001604580986132087,-0.0011227939354012118,-0.00020844926851075474,-0.0014400579490595478,-0.000913373493466596,0.003509230728129753,-0.0003769400213489704,-0.0021928249163425464,-0.0006472672316267317,-0.0005822462545392038,-0.0005566833514650954,-0.0024613799092700964,0.0012100395837370617,-0.000665891461624022,0.0010857675967413313
