level	number of topics	topics	topic_num	keywords
0	208	topic_196	196	elección, electoral, voto, candidatura, autonomica
0	208	topic_197	197	reforma, pensión, jubilacion, macron, pensionista
0	208	topic_198	198	marina, nord, gasoducto, stream, cia
0	208	topic_199	199	leon, castilla, vicepresidente, protocolo, alfonso
0	208	topic_200	200	iglesia, religioso, santo, catolico, jesus
0	208	topic_201	201	brasil, bolsonaro, brasileno, lula, silva
0	208	topic_202	202	tribunal, justicia, sentencia, supremo, indemnizacion
0	208	topic_203	203	ministra, igualdad, montero, secretaria, irene
0	208	topic_204	204	diaz, ayuso, isabel, yolanda, vicepresidenta
0	208	topic_205	205	republicano, florida, gobernador, democrata, texas
0	208	topic_206	206	cadena, supermercado, distribucion, iva, fresco
0	208	topic_207	207	wagner, mercenario, prigozhin, rebelion, paramilitar
