Topic,Count,Name,CustomName,Representation,Representative_Docs
47,168,47_avion_vuelo_aviones_vuelos,"avion, vuelo, aviones","['avion', 'vuelo', 'aviones', 'vuelos', 'un avion', 'de', 'el', 'el avion', 'en', 'un']",
48,165,48_euros_que_de_sueldo,"euros, que, de","['euros', 'que', 'de', 'sueldo', 'la', 'el', 'del', 'los', 'en', 'esclavos']",
49,165,49_de_del_su_que,"de, del, su","['de', 'del', 'su', 'que', 'el', 'la', 'en', 'los', 'por', 'ha']",
50,154,50_euros_de euros_de_por,"euros, de euros, de","['euros', 'de euros', 'de', 'por', 'la fiscalia', 'fiscalia', 'la', 'caso', 'negreira', 'millones']",
51,154,51_de_la_que_en,"de, la, que","['de', 'la', 'que', 'en', 'de la', 'el', 'las', 'con', 'un', 'ha']",
52,147,52_migrantes_asilo_inmigrantes_de asilo,"migrantes, asilo, inmigrante","['migrantes', 'asilo', 'inmigrantes', 'de asilo', 'inmigracion', 'frontera', 'la frontera', 'los', 'de migrantes', 'de']",
53,143,53_hospital_el hospital_le_la,"hospital, el hospita, le","['hospital', 'el hospital', 'le', 'la', 'en el hospital', 'una', 'de', 'en', 'un', 'que']",
54,140,54_precios_alimentos_supermercados_los alimentos,"precios, alimentos, supermerca","['precios', 'alimentos', 'supermercados', 'los alimentos', 'iva', 'los precios', 'compra', 'productos', 'cesta', 'de los alimentos']",
55,140,55_terremoto_volcan_magnitud_terremotos,"terremoto, volcan, magnitud","['terremoto', 'volcan', 'magnitud', 'terremotos', 'terremoto de', 'erupcion', 'de magnitud', 'de', 'turquia', 'en']",
56,140,56_criptomonedas_bitcoin_las criptomonedas_de criptomonedas,"criptomone, bitcoin, las cripto","['criptomonedas', 'bitcoin', 'las criptomonedas', 'de criptomonedas', 'monedas', 'moneda', 'de bitcoin', 'de', 'binance', 'de las criptomonedas']",
57,136,57_de_la_el_que,"de, la, el","['de', 'la', 'el', 'que', 'en', 'del', 'con', 'se', 'su', 'por']",
58,134,58_de_la_que_en,"de, la, que","['de', 'la', 'que', 'en', 'el', 'por', 'se', 'del', 'una', 'las']",
59,133,59_obesidad_alcohol_diabetes_cafe,"obesidad, alcohol, diabetes","['obesidad', 'alcohol', 'diabetes', 'cafe', 'consumo', 'que', 'es', 'la obesidad', 'la', 'de']",
60,133,60_documentos_biden_assange_wikileaks,"documentos, biden, assange","['documentos', 'biden', 'assange', 'wikileaks', 'hunter', 'periodista', 'pablo gonzalez', 'julian', 'gonzalez', 'julian assange']",
61,131,61_despidos_empleados_plantilla_trabajadores,"despidos, empleados, plantilla","['despidos', 'empleados', 'plantilla', 'trabajadores', 'teletrabajo', 'su plantilla', 'de', 'el teletrabajo', 'de su plantilla', 'empresa']",
